sku,name,category,key_features,materials,dimensions,audience
LIN-APR-CHAR-01,"Linen apron, charcoal","kitchen / aprons","100% linen;adjustable strap;deep front pocket",linen,82cm x 70cm,"home cooks, gift-givers"
LIN-APR-OAT-01,"Linen apron, oat","kitchen / aprons","100% linen;adjustable strap;deep front pocket",linen,82cm x 70cm,"home cooks, gift-givers"
WAL-WALN-30CM,"Walnut chopping board, 30cm","kitchen / boards","French walnut;hand-oiled;juice groove;routed handles","French walnut",30cm x 22cm x 3cm,"keen cooks, wedding gifts"
CER-MUG-NAVY,"Stoneware mug, navy","tableware / mugs","stoneware;dishwasher safe;hand-glazed",stoneware,9cm x 9cm; 350ml,
CER-MUG-CLAY,"Stoneware mug, clay","tableware / mugs","stoneware;dishwasher safe;hand-glazed",stoneware,9cm x 9cm; 350ml,
TEA-LOOSE-EARLY,"Loose-leaf early grey, 100g","pantry / tea","Indian black tea base;Italian bergamot oil;loose leaf",,"100g pouch","tea drinkers"
LIN-NAP-OAT-04,"Linen napkins (set of 4), oat","tableware / napkins","100% linen;mitred corners;set of 4",linen,45cm x 45cm,"hosts, gift-givers"
GLS-CARAFE-1L,"Hand-blown carafe, 1L","tableware / glassware","mouth-blown borosilicate;wide pour spout;dishwasher safe",borosilicate glass,"1L; 22cm tall",
WD-SPOON-SET3,"Olivewood spoon set (3 pieces)","kitchen / utensils","Tunisian olive wood;hand-finished;food-safe oil","olive wood","30cm / 28cm / 26cm","everyday cooks, gift-givers"
COT-TOWEL-WAFFLE,"Waffle cotton tea towel","kitchen / textiles","100% cotton;waffle weave;hanging loop",cotton,70cm x 50cm,
